Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
1,31-45,Male,Advanced,33,19,4,34,25,44,60,5,1,C,8,16,25,16,1,D
2,31-45,Female,Beginner,2,25,14,5,78,100,96,6,4,B,6,32,29,5,22,R
3,<18,Male,Beginner,28,22,18,17,30,55,2,5,4,C,15,28,29,18,24,R
4,46-60,Female,Intermediate,39,23,21,25,48,6,93,9,3,A,7,32,2,15,0,D
5,46-60,Male,Advanced,24,7,8,37,35,55,56,7,0,C,16,26,30,1,8,D
6,31-45,Female,Advanced,42,26,4,8,51,66,63,10,3,B,0,1,17,16,13,D
7,<18,Male,Advanced,3,24,1,59,94,78,1,1,0,B,6,20,32,9,24,R
8,18-30,Female,Beginner,34,6,8,12,42,66,7,10,1,C,2,1,15,8,18,D
9,<18,Male,Intermediate,50,17,6,44,52,41,87,10,4,B,9,36,16,17,10,R
10,31-45,Female,Intermediate,27,11,6,64,18,29,52,4,3,C,18,14,41,20,29,D
11,46-60,Male,Advanced,0,8,25,26,3,4,87,8,1,C,6,26,20,16,0,D
12,18-30,Male,Beginner,12,27,5,25,35,25,99,4,2,A,14,8,43,14,29,D
13,>60,Female,Advanced,30,29,7,84,24,80,95,4,4,C,6,9,23,5,12,R
14,<18,Female,Intermediate,3,21,7,3,82,20,84,2,1,C,18,16,41,8,19,D
15,>60,Female,Beginner,25,1,19,44,14,46,75,0,0,C,10,18,5,15,4,R
16,46-60,Female,Advanced,18,11,17,7,51,46,55,2,1,A,17,11,41,16,3,R
17,18-30,Female,Intermediate,31,24,4,89,51,94,69,1,4,B,13,31,19,2,30,R
18,31-45,Male,Beginner,37,26,25,69,35,93,12,9,0,C,0,18,7,17,18,R
19,46-60,Male,Beginner,26,10,23,23,36,64,46,6,0,A,6,24,27,17,22,R
20,31-45,Male,Intermediate,49,17,25,14,82,66,23,5,2,C,4,6,30,14,0,R
21,<18,Female,Beginner,49,19,23,51,18,9,10,2,4,C,17,18,38,17,13,D
22,31-45,Male,Advanced,45,20,2,38,32,61,41,9,2,C,2,28,31,1,12,R
23,18-30,Female,Beginner,37,1,25,97,25,93,18,10,3,B,2,0,32,19,13,D
24,31-45,Male,Beginner,41,18,8,70,36,73,16,0,4,B,7,15,50,18,13,R
25,18-30,Female,Beginner,10,21,6,99,48,86,42,1,1,B,2,29,39,6,3,D
26,18-30,Female,Advanced,32,15,6,89,58,78,50,7,0,B,4,22,4,3,25,D
27,<18,Female,Intermediate,6,23,21,40,60,89,17,3,4,C,14,12,4,14,27,D
28,<18,Female,Beginner,29,2,9,36,3,15,44,1,0,C,12,2,21,3,16,D
29,<18,Male,Intermediate,1,4,9,8,26,8,93,7,0,B,6,23,38,19,19,D
30,>60,Female,Beginner,11,11,7,61,53,64,65,7,4,B,0,3,42,2,1,R
31,31-45,Female,Beginner,0,19,15,42,37,72,11,5,4,B,15,21,3,16,3,R
32,18-30,Male,Advanced,38,4,10,75,47,10,87,3,3,C,1,12,16,1,13,D
33,31-45,Male,Beginner,36,19,6,63,18,33,90,2,3,B,17,22,11,12,11,D
34,46-60,Female,Advanced,7,25,12,97,51,39,46,0,3,B,1,22,33,7,21,R
35,46-60,Male,Intermediate,17,12,20,94,63,37,43,10,0,B,5,21,31,14,25,D
36,46-60,Female,Beginner,49,9,7,44,95,49,76,7,3,C,1,16,23,12,6,R
37,46-60,Male,Beginner,19,6,6,82,27,100,71,1,4,C,3,36,46,3,24,D
38,>60,Male,Advanced,42,13,16,29,9,39,81,2,2,A,2,15,22,0,26,D
39,46-60,Male,Advanced,31,8,13,34,74,28,15,9,0,B,12,2,20,5,28,D
40,<18,Female,Advanced,15,6,2,49,43,78,82,2,1,B,18,24,47,14,7,R
41,<18,Male,Intermediate,18,23,4,94,77,8,39,7,1,B,18,17,32,5,28,D
42,<18,Female,Advanced,34,15,8,37,48,36,61,2,2,C,6,32,22,9,4,D
43,18-30,Female,Intermediate,41,5,23,6,16,46,21,10,1,A,8,16,36,4,5,D
44,<18,Female,Beginner,0,26,25,95,30,52,80,2,3,C,15,6,13,12,6,R
45,>60,Male,Advanced,30,22,18,59,14,29,3,3,0,C,13,35,18,9,17,D
46,>60,Female,Intermediate,44,0,0,88,73,52,93,3,4,B,10,19,5,11,7,D
