Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
1,31-45,Female,Beginner,32,27,0,100,38,17,56,5,0,A,10,8,16,18,4,R
2,18-30,Female,Advanced,45,25,8,17,51,73,29,1,4,A,0,0,0,3,18,D
3,>60,Male,Advanced,46,2,11,57,1,91,74,6,0,B,15,34,19,8,28,R
4,18-30,Male,Advanced,23,8,23,41,53,68,66,3,3,C,15,36,17,18,2,R
5,>60,Male,Advanced,50,18,14,94,37,65,43,9,1,A,15,24,19,13,23,D
6,18-30,Female,Advanced,31,12,19,28,3,100,38,8,4,A,10,1,43,19,28,D
7,18-30,Male,Intermediate,20,24,3,48,54,3,99,9,3,C,0,18,32,10,4,D
8,31-45,Male,Advanced,4,15,19,85,11,1,82,9,1,C,2,24,6,6,27,D
9,46-60,Female,Intermediate,26,14,8,43,63,13,75,8,4,C,4,18,46,20,12,D
10,>60,Female,Beginner,9,7,3,46,12,57,69,6,2,C,0,36,11,18,0,D
11,46-60,Male,Advanced,19,8,16,25,25,77,19,9,1,C,8,20,24,3,15,D
12,31-45,Female,Intermediate,42,7,1,84,19,11,79,5,4,B,17,4,47,19,2,D
13,31-45,Male,Advanced,12,5,24,63,33,51,7,9,4,B,10,33,34,15,20,D
14,>60,Female,Beginner,49,10,0,59,39,76,13,4,4,C,6,26,5,18,4,R
15,46-60,Female,Intermediate,45,5,9,72,25,35,36,5,3,A,9,27,31,9,25,D
16,31-45,Female,Beginner,46,0,11,97,3,80,1,8,3,A,1,3,0,19,12,D
17,18-30,Female,Beginner,4,13,0,95,10,39,41,5,4,A,0,28,0,10,14,R
18,>60,Female,Intermediate,18,27,16,40,50,48,100,0,2,A,14,35,1,6,3,R
19,46-60,Male,Intermediate,46,8,4,98,67,96,92,10,2,C,15,11,26,20,27,R
20,>60,Male,Beginner,25,21,16,67,20,10,25,10,4,A,8,28,11,3,24,R
21,31-45,Male,Intermediate,27,24,15,14,20,89,50,4,4,C,4,33,50,4,9,R
22,<18,Male,Beginner,9,22,11,19,1,56,82,3,1,A,4,18,15,12,23,D
23,<18,Male,Beginner,38,11,9,22,77,29,17,3,2,B,15,11,42,5,5,R
24,<18,Male,Intermediate,4,0,6,29,10,57,70,3,2,B,9,31,29,7,18,R
25,46-60,Female,Intermediate,8,17,11,28,49,79,68,10,0,A,11,19,36,5,6,D
26,>60,Male,Advanced,16,25,13,29,89,67,46,10,0,C,16,4,14,20,17,D
27,>60,Male,Intermediate,13,1,14,99,62,21,9,10,4,A,1,33,30,17,11,D
28,>60,Male,Advanced,25,5,23,40,17,61,26,9,3,A,14,24,19,18,21,R
29,18-30,Female,Beginner,6,9,9,21,74,61,1,7,0,A,13,7,39,1,0,R
30,46-60,Male,Beginner,11,26,25,2,99,63,80,2,0,A,16,7,28,5,23,R
31,46-60,Male,Intermediate,34,4,19,13,87,62,83,8,4,B,15,22,5,14,15,R
32,<18,Male,Advanced,34,6,25,85,0,95,44,8,1,A,11,4,30,6,7,R
33,18-30,Female,Beginner,28,11,20,72,29,67,60,4,0,B,4,26,30,3,7,D
34,31-45,Female,Advanced,19,3,19,30,3,89,73,1,3,A,7,27,41,0,30,D
35,31-45,Male,Beginner,4,29,24,88,89,85,96,0,3,B,11,30,15,11,21,R
36,>60,Female,Beginner,30,5,6,26,57,78,41,3,4,C,4,13,40,4,25,R
37,18-30,Female,Beginner,39,20,13,19,7,59,8,9,0,C,18,14,6,1,8,D
38,46-60,Male,Beginner,40,30,14,86,82,14,17,4,4,A,14,9,49,16,28,D
39,<18,Male,Intermediate,28,27,16,69,62,50,44,1,4,A,2,20,5,20,30,R
40,>60,Male,Beginner,12,9,17,30,82,75,7,0,4,C,12,17,13,7,17,D
41,18-30,Female,Intermediate,50,27,15,92,71,46,80,10,3,B,5,16,44,3,5,R
42,>60,Male,Intermediate,43,18,0,42,89,12,91,2,1,C,15,29,23,0,24,D
43,>60,Female,Intermediate,42,5,4,62,31,8,39,4,3,C,10,32,29,2,17,D
44,>60,Male,Advanced,11,21,15,49,27,38,52,4,2,B,13,22,28,11,5,R
45,<18,Male,Advanced,43,11,10,76,35,91,33,8,3,C,18,6,2,8,13,R
46,18-30,Male,Beginner,25,20,18,55,52,44,86,8,4,C,12,19,27,10,21,R
47,46-60,Female,Intermediate,25,10,17,22,59,8,62,8,4,A,13,0,12,20,29,D
48,31-45,Male,Intermediate,7,7,24,44,74,32,84,1,4,B,0,22,14,2,7,D
49,31-45,Female,Advanced,33,26,17,61,97,88,26,3,2,C,4,3,40,8,23,R
50,46-60,Male,Beginner,9,23,6,80,48,1,55,5,3,A,5,15,3,19,24,D
51,<18,Female,Beginner,3,17,5,79,26,49,100,8,1,A,11,18,10,17,17,D
52,>60,Female,Advanced,44,25,21,37,13,17,27,3,4,C,8,26,19,11,10,R
53,46-60,Male,Beginner,39,5,15,41,100,26,3,5,1,C,3,12,10,7,19,D
54,18-30,Female,Beginner,7,4,24,28,26,57,54,5,0,B,18,24,36,20,19,R
55,46-60,Male,Intermediate,14,13,23,10,28,88,35,3,2,A,9,9,19,20,7,D
56,31-45,Male,Intermediate,46,4,25,80,20,48,43,9,2,A,18,16,39,15,0,D
57,>60,Female,Beginner,38,26,1,70,97,62,91,1,0,A,1,29,35,7,15,D
58,>60,Male,Advanced,34,17,21,35,75,27,15,4,4,C,9,36,19,18,3,R
59,<18,Male,Advanced,24,18,17,37,36,68,3,6,2,B,16,34,12,8,29,D
60,18-30,Female,Beginner,35,3,21,17,60,72,56,6,1,C,16,13,5,20,23,R
61,31-45,Male,Intermediate,0,29,9,91,15,93,78,6,0,A,12,13,32,4,2,R
62,<18,Male,Advanced,3,26,13,55,36,36,97,5,2,B,17,0,29,15,4,R
63,31-45,Female,Beginner,37,28,0,51,72,75,0,0,4,A,5,2,44,4,16,R
64,18-30,Male,Beginner,20,29,16,86,78,32,54,6,3,C,4,15,25,12,30,D
65,46-60,Male,Beginner,10,12,19,36,21,79,53,7,2,B,16,29,16,7,2,R
66,46-60,Female,Advanced,21,15,19,31,36,38,33,2,2,C,8,19,30,11,5,D
67,>60,Male,Intermediate,33,21,2,66,36,54,72,0,0,C,7,18,44,12,29,D
68,46-60,Female,Intermediate,35,3,21,43,89,37,1,9,4,B,0,20,44,8,18,D
69,46-60,Male,Beginner,34,17,1,9,48,24,54,9,1,A,0,9,13,3,28,R
70,18-30,Male,Beginner,18,19,0,54,12,98,27,1,2,A,0,10,22,18,16,R
71,31-45,Female,Advanced,28,17,13,72,38,6,81,8,3,C,16,27,35,17,24,R
72,31-45,Male,Advanced,48,26,21,40,73,73,2,3,4,B,16,34,31,5,5,D
73,46-60,Male,Beginner,50,13,2,45,66,28,96,10,0,C,11,11,30,18,24,R
74,18-30,Female,Intermediate,0,6,18,81,48,35,8,1,4,C,13,14,21,15,3,R
75,31-45,Female,Intermediate,19,19,24,51,43,82,2,9,4,B,9,17,30,19,26,R
76,46-60,Male,Beginner,48,7,19,35,12,12,74,0,3,B,18,30,30,3,4,D
77,<18,Female,Advanced,47,3,16,69,90,31,9,9,3,A,0,10,23,5,19,R
78,>60,Male,Advanced,34,8,13,100,49,60,36,6,0,C,2,17,9,3,15,R
79,18-30,Male,Advanced,40,13,14,99,85,48,23,10,1,B,1,6,40,18,15,D
80,46-60,Female,Intermediate,42,1,24,5,16,33,69,7,3,B,17,18,25,9,19,R
81,18-30,Male,Advanced,5,12,12,70,96,84,13,1,1,B,15,15,15,8,22,R
82,31-45,Male,Intermediate,43,20,8,27,47,58,54,5,0,A,12,27,25,12,17,R
83,31-45,Male,Beginner,44,4,12,49,89,61,49,8,3,B,10,31,21,18,5,D
84,18-30,Male,Advanced,41,27,18,30,5,18,73,3,0,A,15,34,29,3,25,D
85,31-45,Male,Intermediate,9,9,6,60,69,0,31,1,0,C,5,33,22,3,14,R
86,>60,Male,Beginner,42,28,3,43,43,45,37,3,3,C,3,7,50,18,26,R
87,<18,Female,Intermediate,31,20,12,83,80,43,61,5,4,C,3,33,38,6,17,R
88,>60,Male,Advanced,28,4,19,83,19,36,64,0,3,C,15,30,13,12,12,R
89,46-60,Female,Beginner,9,16,11,98,86,73,61,9,0,A,17,35,12,18,1,D
90,31-45,Male,Advanced,5,5,7,38,71,82,5,4,1,A,17,8,15,0,12,R
91,>60,Female,Advanced,37,26,6,95,47,2,1,1,1,B,12,30,28,8,11,D
92,18-30,Female,Intermediate,4,14,10,52,4,62,15,8,2,C,2,6,26,12,5,R
93,46-60,Male,Beginner,8,9,14,29,47,47,37,10,3,A,10,3,22,9,11,R
94,<18,Male,Beginner,34,21,8,2,91,3,24,8,2,B,1,2,23,9,16,D
95,46-60,Male,Beginner,18,18,1,69,79,57,10,5,0,A,9,8,14,0,21,R
96,46-60,Male,Intermediate,26,11,25,13,65,63,51,8,2,B,14,0,23,6,30,R
97,31-45,Female,Beginner,10,4,20,52,50,7,40,6,0,A,5,31,37,6,10,R
98,31-45,Male,Intermediate,0,3,11,30,91,57,86,4,3,C,11,8,8,20,8,D
99,46-60,Male,Beginner,1,14,9,69,39,96,65,3,3,C,10,10,26,5,4,R
100,46-60,Male,Intermediate,32,12,0,83,82,7,89,3,3,A,7,2,38,8,13,D
101,<18,Male,Beginner,1,25,7,11,23,2,9,4,2,A,3,28,26,18,6,R
102,31-45,Female,Beginner,14,23,7,90,64,10,52,5,3,C,8,29,32,8,3,R
103,<18,Female,Advanced,29,28,20,63,10,29,59,9,4,A,1,16,47,6,6,D
104,<18,Male,Beginner,48,1,15,85,12,97,85,0,3,C,13,31,20,5,25,D
105,31-45,Female,Intermediate,7,2,1,65,55,19,69,0,2,A,1,7,31,5,11,R
106,31-45,Male,Beginner,0,19,24,60,51,66,59,9,1,B,0,16,11,16,13,D
107,18-30,Male,Beginner,7,21,20,22,20,15,54,6,4,B,12,11,12,1,29,R
108,>60,Female,Beginner,15,23,19,93,70,95,51,8,0,C,0,33,8,16,7,R
109,31-45,Female,Intermediate,1,13,18,87,57,73,96,6,1,B,17,26,17,13,22,R
110,<18,Male,Intermediate,48,20,17,19,44,52,22,0,0,A,12,13,1,2,24,R
111,>60,Female,Beginner,23,7,6,78,51,5,70,8,4,B,4,14,25,17,18,R
