Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
1,<18,Female,Advanced,24,9,20,93,44,30,25,7,4,A,7,34,33,3,6,R
2,>60,Female,Intermediate,37,18,6,91,73,77,18,8,1,C,16,19,13,18,1,D
3,<18,Male,Advanced,49,12,15,47,20,1,2,2,4,B,18,32,21,1,14,D
4,18-30,Male,Advanced,36,5,22,77,16,59,84,6,2,B,8,32,24,15,24,D
5,>60,Male,Intermediate,39,25,9,54,19,55,29,1,3,C,10,0,24,20,27,R
6,18-30,Male,Intermediate,49,18,6,21,88,50,95,9,0,C,14,11,50,13,20,R
7,<18,Female,Intermediate,36,26,1,23,12,30,48,4,3,A,1,29,9,10,4,R
8,18-30,Male,Intermediate,32,10,23,51,3,21,18,9,2,B,8,2,48,0,24,R
9,>60,Female,Beginner,22,17,23,20,8,89,65,0,0,B,4,20,36,1,9,D
10,>60,Female,Beginner,27,23,17,14,25,23,68,10,0,B,17,21,44,11,3,R
11,>60,Female,Advanced,26,13,11,1,52,16,73,3,1,B,1,24,28,5,21,D
12,18-30,Female,Intermediate,9,13,19,49,6,50,34,0,4,A,1,24,12,15,11,R
13,46-60,Male,Advanced,30,19,23,65,78,46,3,8,4,B,16,27,5,16,22,R
14,46-60,Male,Advanced,38,10,9,58,62,48,5,10,0,B,17,1,27,13,5,R
15,<18,Male,Advanced,11,8,19,53,89,100,17,3,4,B,18,12,13,10,3,D
16,>60,Male,Beginner,4,15,23,13,96,100,49,7,1,B,6,28,8,0,0,R
17,>60,Female,Beginner,27,5,16,67,63,63,45,8,3,A,13,21,17,10,28,R
