Player ID,Age Group,Gender,Skill Level,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente
1,46-60,Male,Advanced,2,0,18,90,47,45,10,0,3,B,3,33,50,6,26,R
2,<18,Female,Advanced,22,23,19,13,62,20,52,6,2,B,0,15,0,7,28,D
3,<18,Female,Advanced,34,26,2,63,32,92,54,1,3,B,6,16,34,10,29,D
4,46-60,Female,Beginner,24,10,18,51,78,84,13,2,4,B,13,31,26,11,11,D
5,31-45,Male,Beginner,7,29,7,79,12,22,89,6,1,A,18,15,36,16,25,D
6,31-45,Female,Intermediate,22,21,24,73,74,32,80,3,0,A,15,24,8,6,12,R
7,31-45,Female,Beginner,8,26,0,4,94,85,58,0,4,B,7,6,1,13,19,D
8,46-60,Male,Beginner,5,8,5,9,92,27,59,0,2,A,7,16,23,11,19,R
9,46-60,Female,Beginner,15,13,11,6,93,100,39,1,1,C,0,11,35,10,11,D
10,<18,Male,Intermediate,46,4,1,86,26,62,0,6,1,C,0,9,20,3,19,D
11,<18,Male,Advanced,0,10,2,69,89,24,7,5,1,A,8,29,42,19,7,D
12,31-45,Female,Beginner,43,8,16,99,65,14,79,10,4,B,15,35,12,16,2,D
13,<18,Female,Beginner,30,6,11,69,74,26,99,1,3,A,12,12,50,10,8,R
14,31-45,Female,Beginner,31,30,3,82,62,33,15,1,4,A,16,17,2,6,7,D
15,>60,Female,Intermediate,24,17,15,7,9,64,23,3,3,B,9,9,38,10,15,D
16,18-30,Female,Intermediate,11,15,7,36,98,28,6,1,2,C,18,4,39,18,22,R
17,18-30,Male,Beginner,14,12,4,4,4,3,90,3,0,B,8,21,35,8,18,D
18,<18,Male,Beginner,10,7,21,86,74,12,88,2,2,B,18,24,29,7,3,D
19,46-60,Female,Advanced,36,11,22,26,83,67,55,10,3,B,3,21,22,13,16,D
